start,end,text
0.03,22.080000000000002,all right so this is the slide that is on the screen while everybody is sitting down you're probably a little bit nervous right now it's probably best to put your Twitter up there so at least in
12.87,35.189,our industry people like to tweet about you know what's going to happen one quick tactical thing before we get started I use caffeine app if you click right here the little coffee cup I've got a link below that keeps your screen
24.359,45.0,bright and that's great for doing podcast presentations stuff like that so you want to keep clicking your your trackpad to keep it open all right so what I say we get started this is not going to be a very long presentation
34.29,54.32,today we're going to be talking about how to present everybody knows TED talks everybody knows that presentations are a great way to share your message but I
43.67,65.219,found it very difficult to create talks and hopefully this talk will make it easier for you I am NOT a guru and I am NOT a professional speaker and that's part of the reason why I feel the need
54.719,75.41900000000001,to make this post when I google around for how to make a presentation when people were starting to ask me to speak at their events and I was speaking at my own I wasn't fine that the simple type
64.739,87.0,of advice that I needed I do have some experience though because I throw conferences that hundreds of entrepreneurs come to I get some of the best in the business to speak and I watch them have been taking notes
75.96,98.939,furiously and I'm trying to create a system here that can allow us to see similar kinds of success that they see so here's what you'll get if you listen to today's presentation a method for
87.659,110.4,making presentations quickly quickly as Mike II think what I cared about concrete tips on how to keep it interesting and a 16 slide template that you can copy in fact I'll embed a little
99.45,119.88,tip here I should have said I'm going to save you time help you make presentations quicker I'm going to help you make them more interesting and I'm going to give you the whole template so you can just download it and start
109.29,131.219,making yours today that's a simple way to make your slides a little bit more visually interesting to increase your slide velocity so first let me talk about the problem just a little bit more I want to explain the problem so you
120.84,143.421,understand exactly why you need to solve it this is my business partner Ian and he's a busy president of a company so he spends all week long day in and day out running a company when someone asked him
132.18,152.21,to speak at an event it can be an incredibly taxing event in fact for this event which happened in Bangkok a year ago it took him two weeks
140.78,160.88,to prepare his slides and I wanted to help guys like Ian go from two weeks to like two hours the presentation I'm showing you right now took me an hour to
152.12,174.59,make and I'll show you exactly how I made it also it sucks when you go to a conference and you spend all of your time cramming in your hotel room finishing your speech rather than
162.35,183.23,hanging out with cool people and I also wanted to help empower people like Peter Keller from fringe sport Peter Keller gave actually he doesn't need myopia gave one of the best talks
173.27,196.07,at my last conference and I've used a lot of the lessons I've learned from Peter in my framework but what I wanted to help people with is most people that are watching this probably aren't
184.94,206.45,professional speakers and neither is Peter and those are the people that that are in some ways even the most interesting people to have speak because you're building your story every day by
195.68,217.25,growing your business whatever it is that you do wouldn't it be great if you had a simple framework so you could just go out there and share your story like Peter did and inspire hundreds of entrepreneurs all right I've worked you
206.51,228.19899999999998,into a presentation within a presentation I want to show you exactly how these sixteen slides can go to work for you so you can tell your story fast and I'm going to tell a quick little
216.799,239.60000000000002,story about a blog post that I wrote one time called learn to play the guitar in ten hours let's imagine that someone from a school calls me and say we'd love for you to come in and share this with
227.63,250.07,our with our students you know the old Dan might have said hey that's going to take me two weeks to make a presentation but now I'm thinking hey I saw that video online about how to make presentations fast why don't I just try
239.75,264.979,it out all right so I have all the slides numbered one to sixteen basically you're going to remove my information and put in yours so instead of having your title of this maybe put in a photo
251.87,276.45,and a nice cover page like that not so nice but nice you I'm sure you'll do a better job than me all right so you start off with what are we going to learn and what I want you to think about is I want you to delete my words and put
264.89,285.33,in imagery that support your story or your point so what are we going to learn today we're going to learn we're going to leet that how to play some songs from your greatest
275.159,298.34999999999997,artists in the amount of time it takes one to commute to work spend a full day at the office and commute back home why should you listen to me because I have no musical talent you'd have managed to be on the radio
286.8,307.009,and play in bands in front of hundreds of people and I've taught a lot of my friends this technique that I use to play the guitar even though I don't I wasn't born with a piano in my hands
296.629,320.78900000000004,specifically today you're going to learn how to play songs like run around from Blues Traveler and accidentally in love by Counting Crows and country roads by John Denver among hundreds of other
308.729,329.698,songs you could potentially play with the information I'm going to share with you today let me share with you the problem so again you're thinking about how you can this is a world net slide
318.779,340.40999999999997,number five how you can remove this text and put in imagery that supports your points the problem did it up by the way
330.12,353.49,if you're really in a tight spot for time you can even like leave the problem and then sort of prompt you and then to put the imagery on the next slide so the problem is is that you know people say
341.52,363.47999999999996,that you need to practice have a teacher that you need to learn to read music you know you name it you need to have musical talent all these kinds of things but I found a simple solution and here's
353.49,375.84000000000003,what it is actually put in size for this you need to know these five shapes they're very awkward they make your hand hurt you need to hold your hand in there for 10 hours so basically it's a muscle memory
363.99,388.291,thing it's not a musical talent thing it's just a mechanical thing so here's the portion of the presentation so again you know your solution could go on it
